,index,condition,w1,w2,subtype,w1_type,w2_type,invertible,Unnamed: 0
497,47,non-phrase,cause,may,odd,word,word,True,
498,48,non-phrase,cells,liver,odd,word,word,True,
499,49,non-phrase,tea,cold,odd,word,word,True,
500,50,non-phrase,aunt,cool,odd,word,word,True,26.0
501,51,non-phrase,roof,dark,odd,word,word,True,423.0
502,52,non-phrase,days,nine,odd,word,word,True,
503,53,non-phrase,deal,raw,odd,word,word,True,
504,54,non-phrase,isle,deep,odd,word,word,True,426.0
505,55,non-phrase,disk,meek,odd,word,word,True,80.0
506,56,non-phrase,doors,wood,odd,word,word,True,
507,57,non-phrase,draft,first,odd,word,word,True,
508,58,non-phrase,duct,tear,odd,word,word,True,
509,59,non-phrase,ear,that,odd,word,word,True,368.0
510,60,non-phrase,event,world,odd,word,word,True,
511,61,non-phrase,field,open,odd,word,word,True,
512,62,non-phrase,rule,final,odd,word,word,True,
513,63,non-phrase,terms,great,odd,word,word,True,
514,64,non-phrase,guard,royal,odd,word,word,True,
515,65,non-phrase,risk,high,odd,word,word,True,
516,66,non-phrase,legs,hind,odd,word,word,True,
517,67,non-phrase,idea,poor,odd,word,word,True,
518,68,non-phrase,ions,metal,odd,word,word,True,
519,69,non-phrase,ore,iron,odd,word,word,True,
520,70,non-phrase,hill,kind,odd,word,word,True,439.0
521,71,non-phrase,leg,right,odd,word,word,True,
522,72,non-phrase,door,lone,odd,word,word,True,401.0
523,73,non-phrase,walk,long,odd,word,word,True,
524,74,non-phrase,risk,low,odd,word,word,True,
525,75,non-phrase,hour,main,odd,word,word,True,444.0
526,76,non-phrase,words,many,odd,word,word,True,
527,77,non-phrase,men,silly,odd,word,word,True,
528,78,non-phrase,monk,sour,odd,word,word,True,374.0
529,79,non-phrase,hair,much,odd,word,word,True,60.0
530,80,non-phrase,nerve,optic,odd,word,word,True,
531,81,non-phrase,wool,new,odd,word,word,True,448.0
532,82,non-phrase,sky,night,odd,word,word,True,411.0
533,83,non-phrase,note,short,odd,word,word,True,
534,84,non-phrase,oil,olive,odd,word,word,True,
535,85,non-phrase,nerve,optic,odd,word,word,True,
536,86,non-phrase,cases,rare,odd,word,word,True,
537,87,non-phrase,risk,low,odd,word,word,True,
538,88,non-phrase,crab,shy,odd,word,word,True,385.0
539,89,non-phrase,soup,wavy,odd,word,word,True,377.0
